wavelength_nm,hbo2_cm1_M1,hbr_cm1_M1,source,source_version
504,20418,22803.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
506,19946,23774.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
508,19996,24745.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
510,20035.2,25773.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
512,20150.4,26936.8,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
514,20429.2,28100,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
516,21001.6,29263.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
518,22509.6,30426.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
520,24202.4,31589.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
522,26450.4,32851.2,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
524,29269.2,34397.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
526,32496.4,35944,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
528,35990,37490,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
530,39956.8,39036.4,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
532,43876,40584,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
534,46924,42088,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
536,49752,43592,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
538,51712,45092,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
540,53236,46592,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
542,53292,48148,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
544,52096,49708,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
546,49868,51268,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
548,46660,52496,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
550,43016,53412,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
552,39675.2,54080,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
554,36815.2,54520,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
556,34476.8,54540,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
558,33456,54164,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
560,32613.2,53788,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
562,32620,52276,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
564,33915.6,50572,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
566,36495.2,48828,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
568,40172,46948,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
570,44496,45072,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
572,49172,43340,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
574,53308,41716,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
576,55540,40092,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
578,54728,38467.6,MNE-Python extinction_coef.mat (Prahl/OMLC),b1fb8933a2ba62028b1dac3ae8bc24da0220d00e
